class_id,representative,class_size,elements,units_used,theoretical_case,notes
128,128,1,128,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
129,129,1,129,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
130,130,1,130,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
131,131,1,131,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
132,132,1,132,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
133,133,1,133,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
134,134,1,134,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
135,135,1,135,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
136,136,1,136,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
137,137,1,137,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
138,138,1,138,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
139,139,1,139,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
140,140,1,140,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
141,141,1,141,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
142,142,1,142,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
143,143,1,143,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
144,144,1,144,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
145,145,1,145,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
146,146,1,146,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
147,147,1,147,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
148,148,1,148,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
149,149,1,149,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
150,150,1,150,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
151,151,1,151,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
152,152,1,152,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
153,153,1,153,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
154,154,1,154,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
155,155,1,155,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
156,156,1,156,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
157,157,1,157,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
158,158,1,158,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
159,159,1,159,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
160,160,1,160,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
161,161,1,161,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
162,162,1,162,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
163,163,1,163,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
164,164,1,164,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
165,165,1,165,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
166,166,1,166,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
167,167,1,167,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
168,168,1,168,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
169,169,1,169,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
170,170,1,170,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
171,171,1,171,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
172,172,1,172,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
173,173,1,173,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
174,174,1,174,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
175,175,1,175,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
176,176,1,176,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
177,177,1,177,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
178,178,1,178,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
179,179,1,179,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
180,180,1,180,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
181,181,1,181,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
182,182,1,182,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
183,183,1,183,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
184,184,1,184,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
185,185,1,185,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
186,186,1,186,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
187,187,1,187,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
188,188,1,188,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
189,189,1,189,1,integer,This is a bounded computational sample. It does not prove the complete associate-class structure of the infinite monoid.
